ID	Front	Back	Notes	Tags
angliya	Англия	Inghilterra		paesi-e-lingue lez-7
Bog	Бог	Dio		arte-e-cultura lez-15
germaniya	Германия	Germania		paesi-e-lingue lez-7
ispaniya	Испания	Spagna		paesi-e-lingue lez-7
italiya	Италия	Italia		paesi-e-lingue lez-7
kitay	Китай	Cina		paesi-e-lingue lez-7
novyy-god	Новый год	Capodanno		feste lez-11
pasha	Пасха	Pasqua		feste lez-11
rozhdestvo	Рождество	Natale		feste lez-11
rossiya	Россия	Russia		paesi-e-lingue lez-7
ssha	США	USA		paesi-e-lingue lez-7
frantsiya	Франция	Francia		paesi-e-lingue lez-7
a	а	invece		pronomi-e-connettori lez-6
avgust	август	agosto		tempo-e-date lez-14
advokat	адвокат	avvocato		professioni lez-2
aktivnyy	активный	attivo		aggettivi lez-13
apelsin	апельсин	arancia		cibo-e-bevande lez-2
apelsiny	апельсины	arance		cibo-e-bevande lez-2
aprel	апрель	aprile		tempo-e-date lez-1 lez-14
apteka	аптека	farmacia		luoghi-in-citta lez-4
arbuz	арбуз	anguria		cibo-e-bevande lez-2
aeroport	аэропорт	aeroporto		viaggi-e-trasporti lez-4
babushka	бабушка	nonna		persone-e-famiglia lez-3
baklazhan	баклажан	melanzana		cibo-e-bevande lez-3
banan	банан	banana		cibo-e-bevande lez-3
bank	банк	banca		luoghi-in-citta lez-4
barabany	барабаны	batteria		musica-e-strumenti lez-14
basketbol	баскетбол	basket		sport-e-giochi lez-14
basseyn	бассейн	piscina		viaggi-e-trasporti lez-4
batat	батат	patata dolce		cibo-e-bevande lez-3
bashnja	башня	torre		luoghi-in-citta lez-21
begat	бегать	correre		verbi lez-6
bednyy	бедный	povero		aggettivi lez-11
bez	без	senza		pronomi-e-connettori lez-21
belyj	белый	bianco		aggettivi lez-17
benzin	бензин	benzina		viaggi-e-trasporti lez-4
bereg	берег	riva		natura-e-luoghi lez-14
besplatno	бесплатно	gratuitamente gratis		acquisti-e-negozi lez-19
blender	блендер	frullatore		casa-e-oggetti lez-21
blizko	близко	vicino		avverbi lez-4
bljuda	блюда	piatti		cibo-e-bevande lez-20
blyudo	блюдо	piatto		cibo-e-bevande lez-11
bogatyy	богатый	ricco		aggettivi lez-11
bogatyj	богатый	ricco		aggettivi lez-20
boevik	боевик	film d'azione		arte-e-cultura lez-15
bolee-ili-menee	более или менее	più o meno		avverbi lez-2
bolnitsa	больница	ospedale		luoghi-in-citta lez-4
bolshoe-spasibo	большое спасибо	grazie mille		saluti-e-cortesia lez-1
bolshoy	большой	grande		aggettivi lez-11
brat	брат	fratello		persone-e-famiglia lez-3
brat-2	брать	prendere		verbi lez-19
bronirovat	бронировать	prenotare		verbi lez-20
bryuki	брюки	pantaloni		abbigliamento lez-3
brjuki	брюки	pantaloni		abbigliamento lez-19
budushchee	будущее	futuro		tempo-e-date lez-12
bukva	буква	lettera		scuola-e-lingua lez-2
bumaga	бумага	carta		scuola-e-lingua lez-10
buterbrod	бутерброд	panino		cibo-e-bevande lez-7
butylka	бутылка	bottiglia		stoviglie-e-posate lez-1
buhgalter	бухгалтер	ragioniere		professioni lez-16
bystro	быстро	velocemente		avverbi lez-7
bystryy	быстрый	veloce		aggettivi lez-11
byt soglasnym	быть согласным	essere d'accordo		espressioni-utili lez-17
vazhnyj	важный	importante		aggettivi lez-19
vam-nravitsya	вам нравится	vi piace		gusti-e-preferenze lez-9
vannaja	ванная	bagno		casa-e-oggetti lez-21
varene	варенье	marmellata		cibo-e-bevande lez-14
vas	вас	voi		pronomi-e-connettori lez-2
velosiped	велосипед	bicicletta		viaggi-e-trasporti lez-1
vesna	весна	primavera		tempo-e-date lez-14
ves	весь	tutto		aggettivi lez-7
veter	ветер	vento		meteo-e-stagioni lez-14
vetreno	ветрено	ventoso		avverbi lez-14
vecher	вечер	sera		tempo-e-date lez-8
veshchi	вещи	oggetti		casa-e-oggetti lez-13
videt	видеть	vedere		verbi lez-17
vilka	вилка	forchetta		stoviglie-e-posate lez-4
vino	вино	vino		cibo-e-bevande lez-7
vinograd	виноград	uva		cibo-e-bevande lez-3
viset	висеть	essere appeso		verbi lez-13
vishnya	вишня	ciliegia		cibo-e-bevande lez-3
vkusnyy	вкусный	gustoso		aggettivi lez-11
vkusnyj	вкусный	buono (di un cibo)		aggettivi lez-17
vmeste	вместе	insieme		avverbi lez-6
vne	вне	fuori all'esterno		avverbi lez-16
vnimatelno	внимательно	attentamente		avverbi lez-12
vnuk	внук	nipote		persone-e-famiglia lez-3
vnuchka	внучка	nipote		persone-e-famiglia lez-3
vo-skolko	во сколько	a che ora		pronomi-e-connettori lez-8
voda	вода	acqua		cibo-e-bevande lez-1 lez-7
voennyj	военный	militare		aggettivi lez-19
vojna	война	guerra		arte-e-cultura lez-15
vokzal	вокзал	stazione		luoghi-in-citta lez-4
volk	волк	lupo		animali lez-14
volosy	волосы	capelli		corpo lez-11
vopros	вопрос	domanda		casa-e-oggetti lez-5
voron	ворон	corvo		animali lez-10
voskresene	воскресенье	domenica		tempo-e-date lez-10
vostok	восток	est		direzioni-e-geografia lez-14
vosmoj	восьмой	ottavo		scuola-e-lingua lez-21
vot	вот	ecco		pronomi-e-connettori lez-1
vrach	врач	dottore		professioni lez-2
vremena-goda	времена года	stagioni		tempo-e-date lez-14
vremya	время	tempo		tempo-e-date lez-3 lez-8
vse	все	tutti		aggettivi lez-7
vsegda	всегда	sempre		orari-e-frequenza lez-8
vstavat	вставать	alzarsi		verbi lez-16
vsya	вся	tutta		aggettivi lez-7
vsio	всё	tutto		aggettivi lez-7
vsio-v-poryadke	всё в порядке	tutto ok		saluti-e-cortesia lez-2
vtornik	вторник	martedì		tempo-e-date lez-10
vtoroj	второй	secondo		scuola-e-lingua lez-21
vchera	вчера	ieri		tempo-e-date lez-8 lez-12
vy	вы	voi		pronomi-e-connettori lez-2
vybor	выбор	scelta		acquisti-e-negozi lez-19
vysoko	высоко	in alto		avverbi lez-21
vystavka	выставка	mostra		arte-e-cultura lez-14
vyhodnoy	выходной	giorno libero		tempo-e-date lez-12
vyhodnye	выходные	weekend		tempo-e-date lez-12
gazeta	газета	giornale		scuola-e-lingua lez-1
galstuk	галстук	cravatta		abbigliamento lez-6 lez-11
gde	где	dove		pronomi-e-connettori lez-3
gitara	гитара	chitarra		musica-e-strumenti lez-14
glagol	глагол	verbo		grammatica lez-12
glaz	глаз	occhio		corpo lez-10
glaza	глаза	occhi		corpo lez-10
govorit	говорить	parlare		verbi lez-6
god	год	anno		tempo-e-date lez-8
god-nazad	год назад	un anno fa		tempo-e-date lez-12
golova	голова	testa		corpo lez-10
goluboj	голубой	azzurro		aggettivi lez-17
gorod	город	città		natura-e-luoghi lez-1
goroh	горох	piselli		cibo-e-bevande lez-3
gory	горы	montagne		natura-e-luoghi lez-14
goryachiy	горячий	bollente		aggettivi lez-11
gosti	гости	ospiti		feste lez-14
gostinaja	гостиная	salotto		casa-e-oggetti lez-21
gostinitsa	гостиница	albergo		luoghi-in-citta lez-4
gotov	готов	pronto		aggettivi lez-1
gotovit	готовить	cucinare		verbi lez-10
granat	гранат	melograno		cibo-e-bevande lez-9
greypfrut	грейпфрут	pompelmo		cibo-e-bevande lez-9
gripp	грипп	influenza		stato-e-condizioni lez-18
groza	гроза	temporale		meteo-e-stagioni lez-14
gromkiy	громкий	forte		aggettivi lez-11
gromko	громко	a voce alta / rumorosamente a voce-alta		avverbi lez-7 lez-17
grusha	груша	pera		cibo-e-bevande lez-3
gulyat	гулять	passeggiare		verbi lez-6
da	да	sì		pronomi-e-connettori lez-1
davay	давай	forza		saluti-e-cortesia lez-1
davat	давать	dare affittare		verbi lez-16
davno	давно	da tanto tempo		orari-e-frequenza lez-8 lez-12
day	дай	dammi		saluti-e-cortesia lez-3
daleko	далеко	lontano		avverbi lez-4
dver	дверь	porta		casa-e-oggetti lez-1
dvoyurodnaya-sestra	двоюродная сестра	cugina		persone-e-famiglia lez-3
dvoyurodnyy-brat	двоюродный брат	cugino		persone-e-famiglia lez-3
devushka	девушка	ragazza / fidanzata		persone-e-famiglia lez-2 lez-3
devjatyj	девятый	nono		scuola-e-lingua lez-21
dedushka	дедушка	nonno		persone-e-famiglia lez-3
dekabr	декабрь	dicembre		tempo-e-date lez-14
delat	делать	fare		verbi lez-6
den	день	pomeriggio		tempo-e-date lez-8
den-rozhdeniya	день рождения	compleanno		feste lez-11
dengi	деньги	soldi		casa-e-oggetti lez-3
derevnya	деревня	paese/villaggio		natura-e-luoghi lez-15
derevnja	деревня	villaggio		natura-e-luoghi lez-18 lez-20
derevo	дерево	albero		natura-e-luoghi lez-3 lez-11 lez-14
desjatyj	десятый	decimo		scuola-e-lingua lez-21
detektiv	детектив	giallo		arte-e-cultura lez-15
deti	дети	bambini / figli		persone-e-famiglia lez-2 lez-3
detskaja	детская	cameretta dei bambini		casa-e-oggetti lez-21
deshiovyy	дешёвый	economico		aggettivi lez-11
dlinnyy	длинный	lungo		aggettivi lez-11
dlja	для	per		pronomi-e-connettori lez-21
do-vstrechi	до встречи	ci vediamo		saluti-e-cortesia lez-2
do-svidaniya	до свидания	arrivederci		saluti-e-cortesia lez-2
dobroe-utro	доброе утро	buongiorno		saluti-e-cortesia lez-2
dobryj	добрый	buono (di una persona)		aggettivi lez-17
dobryy-vecher	добрый вечер	buonasera		saluti-e-cortesia lez-2
dobryy-den	добрый день	buongiorno		saluti-e-cortesia lez-2
dozhdlivo	дождливо	piovoso		avverbi lez-14
dozhd	дождь	pioggia		meteo-e-stagioni lez-13 lez-14
dokumentalnyj film	документальный фильм	documentario		arte-e-cultura lez-15
dolgo	долго	a lungo		avverbi lez-7
dom	дом	casa		casa-e-oggetti lez-1
doma	дома	a casa		avverbi lez-29
domashnee-zadanie	домашнее задание	compiti a casa		scuola-e-lingua lez-8
domoj	домой	verso casa		avverbi lez-29
domohozyayka	домохозяйка	casalinga		professioni lez-2
doroga	дорога	strada		viaggi-e-trasporti lez-18
dorogoy	дорогой	costoso		aggettivi lez-11
dorogoj	дорогой	caro		aggettivi lez-19
doska	доска	lavagna		scuola-e-lingua lez-1
doch	дочь	figlia		persone-e-famiglia lez-3
drug	друг	amico		persone-e-famiglia lez-3
drugoy	другой	altro		aggettivi lez-11
dumat	думать	pensare		verbi lez-6
duhovka	духовка	forno		casa-e-oggetti lez-21
duel	дуэль	duello		arte-e-cultura lez-15
dynya	дыня	melone		cibo-e-bevande lez-3
dyadya	дядя	zio		persone-e-famiglia lez-3
ego	его	lui		pronomi-e-connettori lez-2
eda	еда	cibo		cibo-e-bevande lez-3
ezdit	ездить	andare (con un mezzo, abitualmente)		verbi lez-29
ey-nravitsya	ей нравится	le piace		gusti-e-preferenze lez-9
el	ель	abete		natura-e-luoghi lez-2
emu-nravitsya	ему нравится	gli piace		gusti-e-preferenze lez-9
esli	если	se		pronomi-e-connettori lez-8
est	есть	c'è / mangiare / mangiare		verbi lez-4 lez-10
ehat	ехать	andare (con un mezzo)		verbi lez-29
eshchio	ещё	ancora		avverbi lez-6 lez-7
eshchio-raz	ещё раз	di nuovo		orari-e-frequenza lez-8
eio	её	lei		pronomi-e-connettori lez-2
zharko	жарко	caldo		avverbi lez-14
zhena	жена	moglie		persone-e-famiglia lez-1 lez-3
zhenitsja	жениться	sposarsi		verbi lez-15
zhenskij	женский	femminile		aggettivi lez-19
zhenshchina	женщина	donna		persone-e-famiglia lez-1 lez-2
zhivotnoe	животное	animale		animali lez-3 lez-12 lez-17
zhivotnye	животные	animali		animali lez-12
zhit	жить	vivere		verbi lez-13
zhurnal	журнал	rivista		scuola-e-lingua lez-1
zheltyj	жёлтый	giallo		aggettivi lez-17
zavod	завод	fabbrica		luoghi-in-citta lez-14
zavtra	завтра	domani		tempo-e-date lez-2 lez-8 lez-12
zavtrak	завтрак	colazione		cibo-e-bevande lez-6 lez-10
zavtrakat	завтракать	fare colazione		verbi lez-6
zagorat	загорать	prendere il sole		verbi lez-14
zakanchivat	заканчивать	finire		verbi lez-9
zakryvatsya	закрываться	chiudersi		verbi lez-14
zapad	запад	ovest		direzioni-e-geografia lez-14
zapiska	записка	nota		scuola-e-lingua lez-10
zapravka	заправка	benzinaio		luoghi-in-citta lez-4
zarplata	зарплата	stipendio		professioni lez-15
zarjadka	зарядка	ginnastica		sport-e-giochi lez-16
zvezda	звезда	stella		natura-e-luoghi lez-10
zdanie	здание	edificio		luoghi-in-citta lez-21
zdes	здесь	qui		avverbi lez-4
zdorove	здоровье	salute		stato-e-condizioni lez-15
zdravstvuyte	здравствуйте	salve		saluti-e-cortesia lez-2
zelenyj	зелёный	verde		aggettivi lez-17
zima	зима	inverno		tempo-e-date lez-14
zloj	злой	cattivo (di una persona)		aggettivi lez-17
znamenityj	знаменитый	famoso		aggettivi lez-19
znat	знать	sapere		verbi lez-6
zont	зонт	ombrello		abbigliamento lez-1
zoopark	зоопарк	zoo		luoghi-in-citta lez-4
i	и	e		pronomi-e-connettori lez-6
igra	игра	gioco		sport-e-giochi lez-9
igrat	играть	giocare		verbi lez-6
igrushki	игрушки	giocattoli		casa-e-oggetti lez-4
idti	идти	andare / andare (a piedi)		verbi lez-13 lez-29
izvini	извини	scusa		saluti-e-cortesia lez-1
izvinite	извините	scusate		saluti-e-cortesia lez-1
izuchat	изучать	studiare		verbi lez-6 lez-12
ikra	икра	caviale		cibo-e-bevande lez-1 lez-3
ili	или	oppure		pronomi-e-connettori lez-1
im-nravitsya	им нравится	a loro piace		gusti-e-preferenze lez-9
imya	имя	nome		persone-e-famiglia lez-3
inzhener	инженер	ingegnere		professioni lez-2
inogda	иногда	ogni tanto		orari-e-frequenza lez-8
inostranets	иностранец	straniero		scuola-e-lingua lez-8
interesno	интересно	interessante		aggettivi lez-7
interesnyy	интересный	interessante		aggettivi lez-11
iskat	искать	cercare		verbi lez-19
isklyucheniya	исключения	eccezioni		grammatica lez-14
iskusstvo	искусство	arte		arte-e-cultura lez-15 lez-20
ih	их	loro		pronomi-e-connettori lez-2
iyul	июль	luglio		tempo-e-date lez-14
iyun	июнь	giugno		tempo-e-date lez-14
k-sozhaleniyu	к сожалению	purtroppo		avverbi lez-5
k-chiortu	к чёрту	al diavolo		saluti-e-cortesia lez-8
kabachki	кабачки	zucchine		cibo-e-bevande lez-5
kabinet	кабинет	studio		casa-e-oggetti scuola-e-lingua lez-7 lez-21
kazhdyy	каждый	ogni		aggettivi lez-4
kak-vsegda	как всегда	come sempre		avverbi lez-7
kak-po-russki	как по-русски?	come si dice in russo?		saluti-e-cortesia lez-7
kak-tebya-zovut	как тебя зовут?	come ti chiami?		saluti-e-cortesia lez-2
kak-chasto	как часто	quanto spesso		orari-e-frequenza lez-8
kanikuly	каникулы	vacanze		sport-e-giochi lez-14
kapusta	капуста	cavolo		cibo-e-bevande lez-3
karandash	карандаш	matita		scuola-e-lingua lez-1
karta	карта	mappa		casa-e-oggetti lez-1
kartina	картина	quadro		casa-e-oggetti lez-1
kartofel	картофель	patata		cibo-e-bevande lez-3
karty	карты	carte		sport-e-giochi lez-14
katatsya-na-konkah	кататься на коньках	pattinare		sport-e-giochi lez-14
kashtany	каштаны	castagne		cibo-e-bevande lez-14
kvartira	квартира	appartamento		casa-e-oggetti lez-5
kenguru	кенгуру	canguro		animali lez-13
kivi	киви	kiwi		cibo-e-bevande lez-3
kladbishche	кладбище	cimitero		luoghi-in-citta lez-21
klass	класс	aula		scuola-e-lingua lez-1
klassicheskij	классический	classico		aggettivi lez-19
klubnika	клубника	fragola		cibo-e-bevande lez-3
klyuch	ключ	chiave		casa-e-oggetti lez-1
kniga	книга	libro		scuola-e-lingua lez-1
kovior	ковёр	tappeto		casa-e-oggetti lez-14
kogda	когда	quando		pronomi-e-connettori lez-8
kozhanyj	кожаный	di pelle		aggettivi lez-19
kolbasa	колбаса	salame		cibo-e-bevande lez-10
